2024-11-04 17:39:27.066 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 3.208414077758789, Gravity-Corrected Acc: 3.8500968933105466, Filtered Acc: 4.4062190736688045, Pre-Kalman Displacement: 0.0962231853329186, Post-Kalman Displacement: 0.06, Velocity: 0.07066616518759895, dt: 0.001, Final Depth (cm): 6.0, Kalman State: [0.0962231853329186, 4.675305197278811]
2024-11-04 17:39:27.069 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 0.867965042591095, Gravity-Corrected Acc: 1.0415580511093139, Filtered Acc: 2.38742246013311, Pre-Kalman Displacement: 0.1985852979762673, Post-Kalman Displacement: 0.06, Velocity: 0.22218895786349988, dt: 0.003, Final Depth (cm): 6.0, Kalman State: [0.1985852979762673, 2.864943279110938]
2024-11-04 17:39:27.070 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.0678880214691162, Gravity-Corrected Acc: -1.2814656257629393, Filtered Acc: 0.18608960859548063, Pre-Kalman Displacement: 0.10156383920733425, Post-Kalman Displacement: 0.06, Velocity: 0.0753497419888642, dt: 0.001, Final Depth (cm): 6.0, Kalman State: [0.10156383920733425, 0.7451940263096892]
2024-11-04 17:39:27.073 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.0200259685516357, Gravity-Corrected Acc: -1.2240311622619628, Filtered Acc: -0.6599828539189855, Pre-Kalman Displacement: 0.14028109927051433, Post-Kalman Displacement: 0.06, Velocity: 0.15022559073240488, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.14028109927051433, -0.36670199624447397]
2024-11-04 17:39:27.074 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.0763707160949707, Gravity-Corrected Acc: -2.491644859313965, Filtered Acc: -1.758980057155973, Pre-Kalman Displacement: 0.14598262405802032, Post-Kalman Displacement: 0.06, Velocity: 0.14780662782132992, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.14598262405802032, -1.468394075313211]
2024-11-04 17:39:27.076 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.381840705871582, Gravity-Corrected Acc: -2.858208847045898, Filtered Acc: -2.4185173310899284, Pre-Kalman Displacement: 0.08695213539247335, Post-Kalman Displacement: 0.06, Velocity: 0.071814565216542, dt: 0.001, Final Depth (cm): 6.0, Kalman State: [0.08695213539247335, -2.2202177876584885]
2024-11-04 17:39:27.077 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.848198652267456, Gravity-Corrected Acc: -4.617838382720947, Filtered Acc: -3.7381099620685396, Pre-Kalman Displacement: 0.1258943950604624, Post-Kalman Displacement: 0.06, Velocity: 0.13747250313992554, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.1258943950604624, -3.4213035033721795]
2024-11-04 17:39:27.080 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -4.920247554779053, Gravity-Corrected Acc: -5.9042970657348635, Filtered Acc: -5.037822224268334, Pre-Kalman Displacement: 0.17671542852070793, Post-Kalman Displacement: 0.06, Velocity: 0.1930448564303832, dt: 0.003, Final Depth (cm): 6.0, Kalman State: [0.17671542852070793, -4.70042678971547]
2024-11-04 17:39:27.081 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -4.448126792907715, Gravity-Corrected Acc: -5.337752151489258, Filtered Acc: -5.217780180600888, Pre-Kalman Displacement: 0.08274183292207324, Post-Kalman Displacement: 0.06, Velocity: 0.05922048427435972, dt: 0.001, Final Depth (cm): 6.0, Kalman State: [0.08274183292207324, -5.109806646847888]
2024-11-04 17:39:27.082 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -4.511922836303711, Gravity-Corrected Acc: -5.414307403564453, Filtered Acc: -5.335696514379027, Pre-Kalman Displacement: 0.05887960607422822, Post-Kalman Displacement: 0.05887960607422822, Velocity: 0.05394374592686976, dt: 0.001, Final Depth (cm): 5.887960607422822, Kalman State: [0.05887960607422822, -5.288551409249525]
2024-11-04 17:39:27.084 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -4.371895790100098, Gravity-Corrected Acc: -5.246274948120117, Filtered Acc: -5.282043574623681, Pre-Kalman Displacement: 0.08705015678337844, Post-Kalman Displacement: 0.06, Velocity: 0.09726975176473682, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.08705015678337844, -5.283398386083405]
2024-11-04 17:39:27.086 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.8721282482147217, Gravity-Corrected Acc: -4.6465538978576655, Filtered Acc: -4.900749768564072, Pre-Kalman Displacement: 0.08490141440657421, Post-Kalman Displacement: 0.06, Velocity: 0.08708695842154907, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.08490141440657421, -4.980612431531969]
2024-11-04 17:39:27.092 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -3.1733663082122803, Gravity-Corrected Acc: -3.8080395698547362, Filtered Acc: -4.2451236493384705, Pre-Kalman Displacement: 0.0773677723699686, Post-Kalman Displacement: 0.06, Velocity: 0.07794108500364652, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.0773677723699686, -4.398628899072313]
2024-11-04 17:39:27.094 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.596186637878418, Gravity-Corrected Acc: -3.1154239654541014, Filtered Acc: -3.567303839007849, Pre-Kalman Displacement: 0.1772898842162518, Post-Kalman Displacement: 0.06, Velocity: 0.210385972545901, dt: 0.006, Final Depth (cm): 6.0, Kalman State: [0.1772898842162518, -3.740778189630805]
2024-11-04 17:39:27.095 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.2951319217681885, Gravity-Corrected Acc: -2.754158306121826, Filtered Acc: -3.0794165192762355, Pre-Kalman Displacement: 0.061366882526722316, Post-Kalman Displacement: 0.06, Velocity: 0.031740968578508055, dt: 0.001, Final Depth (cm): 6.0, Kalman State: [0.061366882526722316, -3.217456934169599]
2024-11-04 17:39:27.097 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.3957600593566895, Gravity-Corrected Acc: -2.874912071228027, Filtered Acc: -2.9567138504473105, Pre-Kalman Displacement: 0.056939609068136006, Post-Kalman Displacement: 0.056939609068136006, Velocity: 0.057445806787292567, dt: 0.002, Final Depth (cm): 5.693960906813601, Kalman State: [0.056939609068136006, -3.011133929108416]
2024-11-04 17:39:27.098 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.395811080932617, Gravity-Corrected Acc: -2.8749732971191406, Filtered Acc: -2.9076695184504087, Pre-Kalman Displacement: 0.0316672893655444, Post-Kalman Displacement: 0.0316672893655444, Velocity: 0.025790711709197424, dt: 0.001, Final Depth (cm): 3.16672893655444, Kalman State: [0.0316672893655444, -2.9292648558289853]
2024-11-04 17:39:27.101 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.433046340942383, Gravity-Corrected Acc: -2.919655609130859, Filtered Acc: -2.9148611728586786, Pre-Kalman Displacement: 0.05908943751254149, Post-Kalman Displacement: 0.05908943751254149, Velocity: 0.06863833909062884, dt: 0.003, Final Depth (cm): 5.908943751254149, Kalman State: [0.05908943751254149, -2.917862590651747]
2024-11-04 17:39:27.102 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -2.0856430530548096, Gravity-Corrected Acc: -2.5027716636657713, Filtered Acc: -2.6676074673429344, Pre-Kalman Displacement: 0.027629017820298706, Post-Kalman Displacement: 0.027629017820298706, Velocity: 0.020088212043442074, dt: 0.001, Final Depth (cm): 2.7629017820298705, Kalman State: [0.027629017820298706, -2.7198401640858125]
2024-11-04 17:39:27.105 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -1.3813616037368774, Gravity-Corrected Acc: -1.6576339244842528, Filtered Acc: -2.061623341627725, Pre-Kalman Displacement: 0.0462061135323055, Post-Kalman Displacement: 0.0462061135323055, Velocity: 0.05317078991687044, dt: 0.003, Final Depth (cm): 4.62061135323055, Kalman State: [0.0462061135323055, -2.1989976843110823]
2024-11-04 17:39:27.106 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.7748240232467651, Gravity-Corrected Acc: -0.9297888278961182, Filtered Acc: -1.3825226333887608, Pre-Kalman Displacement: 0.02187851118823745, Post-Kalman Displacement: 0.02187851118823745, Velocity: 0.0160015236514485, dt: 0.001, Final Depth (cm): 2.187851118823745, Kalman State: [0.02187851118823745, -1.5529320001627975]
2024-11-04 17:39:27.108 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.5360583066940308, Gravity-Corrected Acc: -0.6432699680328369, Filtered Acc: -0.9389710341752064, Pre-Kalman Displacement: 0.038888482492368925, Post-Kalman Displacement: 0.038888482492368925, Velocity: 0.04452233045299976, dt: 0.003, Final Depth (cm): 3.8888482492368928, Kalman State: [0.038888482492368925, -1.0671093119808037]
