2024-11-04 17:35:05.384 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 1.4021215438842773, Gravity-Corrected Acc: 1.6825458526611328, Filtered Acc: 1.2627781041163235, Velocity: 0.1604941244903538, dt: 0.015, Displacement (cm): 6.0
2024-11-04 17:35:05.389 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 2.2319204807281494, Gravity-Corrected Acc: 2.678304576873779, Filtered Acc: 2.112093987770797, Velocity: 0.06193522172650216, dt: 0.005, Displacement (cm): 6.0
2024-11-04 17:35:05.400 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 2.8317108154296875, Gravity-Corrected Acc: 3.398052978515625, Filtered Acc: 2.8836693822176933, Velocity: 0.1637341863332423, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.410 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 3.1615304946899414, Gravity-Corrected Acc: 3.7938365936279297, Filtered Acc: 3.4297697090638355, Velocity: 0.18041645575935442, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.422 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 3.5807840824127197, Gravity-Corrected Acc: 4.296940898895263, Filtered Acc: 3.950072422962692, Velocity: 0.26077879970338447, dt: 0.012, Displacement (cm): 6.0
2024-11-04 17:35:05.432 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 4.026095867156982, Gravity-Corrected Acc: 4.831315040588379, Filtered Acc: 4.4788179935381045, Velocity: 0.23351410665179234, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.441 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 3.9800431728363037, Gravity-Corrected Acc: 4.776051807403564, Filtered Acc: 4.657158281857381, Velocity: 0.30513999987896845, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.450 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 4.223783016204834, Gravity-Corrected Acc: 5.068539619445801, Filtered Acc: 4.903987084410433, Velocity: 0.3176511540392772, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.460 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 4.315810203552246, Gravity-Corrected Acc: 5.178972244262695, Filtered Acc: 5.068978180321791, Velocity: 0.4028105530339687, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.472 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 4.558074474334717, Gravity-Corrected Acc: 5.46968936920166, Filtered Acc: 5.309404893649713, Velocity: 0.5001727152442097, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.481 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 4.753836154937744, Gravity-Corrected Acc: 5.704603385925293, Filtered Acc: 5.546523989015061, Velocity: 0.45808390153543543, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.494 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 4.847308158874512, Gravity-Corrected Acc: 5.816769790649414, Filtered Acc: 5.708671469995673, Velocity: 0.7348355171458657, dt: 0.013, Displacement (cm): 6.0
2024-11-04 17:35:05.502 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 5.12535285949707, Gravity-Corrected Acc: 6.150423431396484, Filtered Acc: 5.973722646836159, Velocity: 0.4989360485570905, dt: 0.008, Displacement (cm): 6.0
2024-11-04 17:35:05.512 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 5.179421424865723, Gravity-Corrected Acc: 6.215305709838867, Filtered Acc: 6.118672484637783, Velocity: 0.6841320363537327, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.521 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 5.1429829597473145, Gravity-Corrected Acc: 6.1715795516967775, Filtered Acc: 6.15041672487318, Velocity: 0.6709297341611591, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.531 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 4.782314777374268, Gravity-Corrected Acc: 5.738777732849121, Filtered Acc: 5.9034333296587445, Velocity: 0.805746732673947, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.541 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 4.154068946838379, Gravity-Corrected Acc: 4.984882736206054, Filtered Acc: 5.352302973587131, Velocity: 0.8620254141901764, dt: 0.01, Displacement (cm): 6.0
